# mu omega_base omega_full
2.300000 1.830002 1.830002
2.310000 1.830002 1.830002
2.320000 1.830002 1.830002
2.330000 1.830002 1.830002
2.340000 1.830002 1.830002
2.350000 1.830002 1.830002
2.360000 1.830002 1.830002
2.370000 1.840002 1.840002
2.380000 1.840002 1.840002
2.390000 1.840002 1.840002
2.400000 1.840002 1.840002
2.410000 1.840002 1.840002
2.420000 1.840002 1.840002
2.430000 1.850002 1.850002
2.440000 1.850002 1.850002
2.450000 1.860000 1.860000
2.460000 1.860000 1.860000
2.470000 1.870000 1.870000
2.480000 1.880000 1.880000
2.490000 1.890000 1.890000
2.500000 1.890000 1.890000
2.510000 1.900001 1.900001
2.520000 1.910001 1.910001
2.530000 1.920001 1.920001
2.540000 1.930001 1.930001
2.550000 1.940001 1.940001
2.560000 1.940001 1.940001
2.570000 1.950002 1.950002
2.580000 1.960002 1.960002
2.590000 1.990002 1.990002
2.600000 2.000003 2.000003
2.610000 2.010000 2.010000
2.620000 2.020000 2.020000
2.630000 2.020000 2.020000
2.640000 2.030000 2.030000
2.650000 2.040001 2.040001
2.660000 2.050001 2.050001
2.670000 2.050001 2.050001
2.680000 2.060001 2.060001
2.690000 2.070001 2.070001
2.700000 2.080001 2.080001
2.710000 2.080001 2.080001
2.720000 2.090002 2.090002
2.730000 2.090002 2.090002
2.740000 2.100002 2.100002
2.750000 2.100002 2.100002
2.760000 2.100002 2.100002
2.770000 2.100002 2.100002
2.780000 2.110002 2.110002
2.790000 2.110002 2.110002
2.800000 2.110002 2.110002
2.810000 2.110002 2.110002
2.820000 2.110002 2.110002
2.830000 2.110002 2.110002
2.840000 2.110002 2.110002
2.850000 2.110002 2.110002
2.860000 2.110002 2.110002
2.870000 2.110002 2.110002
2.880000 2.120002 2.120002
2.890000 2.120002 2.120002
2.900000 2.120002 2.120002
2.910000 2.120002 2.120002
2.920000 2.120002 2.120002
2.930000 2.130002 2.130002
2.940000 2.130002 2.130002
2.950000 2.130002 2.130002
2.960000 2.140002 2.140002
2.970000 2.140002 2.140002
2.980000 2.140002 2.140002
2.990000 2.150003 2.150003
3.000000 2.150003 2.150003
3.010000 2.150003 2.150003
3.020000 2.160000 2.160000
3.030000 2.160000 2.160000
3.040000 2.160000 2.160000
3.050000 2.170000 2.170000
3.060000 2.170000 2.170000
3.070000 2.170000 2.170000
3.080000 2.180000 2.180000
3.090000 2.180000 2.180000
3.100000 2.180000 2.180000
3.110000 2.180000 2.180000
3.120000 2.180000 2.180000
3.130000 2.190001 2.190001
3.140000 2.190001 2.190001
3.150000 2.190001 2.190001
3.160000 2.190001 2.190001
3.170000 2.190001 2.190001
3.180000 2.190001 2.190001
3.190000 2.190001 2.190001
3.200000 2.190001 2.190001
3.210000 2.190001 2.190001
3.220000 2.190001 2.190001
3.230000 2.190001 2.190001
3.240000 2.190001 2.190001
3.250000 2.190001 2.190001
3.260000 2.190001 2.190001
3.270000 2.190001 2.190001
3.280000 2.190001 2.190001
3.290000 2.190001 2.190001
3.300000 2.190001 2.190001
3.310000 2.190001 2.190001
3.320000 2.190001 2.190001
3.330000 2.190001 2.190001
3.340000 2.190001 2.190001
3.350000 2.190001 2.190001
3.360000 2.190001 2.190001
3.370000 2.190001 2.190001
3.380000 2.190001 2.190001
3.390000 2.190001 2.190001
3.400000 2.190001 2.190001
3.410000 2.190001 2.190001
3.420000 2.190001 2.190001
3.430000 2.190001 2.190001
3.440000 2.190001 2.190001
3.450000 2.190001 2.190001
3.460000 2.190001 2.190001
3.470000 2.190001 2.190001
3.480000 2.190001 2.190001
3.490000 2.200001 2.200001
3.500000 2.200001 2.200001
